item400,O*Net Job Family Categories ,,O*Net Job Family Categories (Kulas)
Call centre consultant,Sales and Related,,
safety and hygiene technician in a corporate,Business and Financial Operations,,
Marketing manager ,Business and Financial Operations,,
worker in a little shoemaker factory,Production,,
delivery driver for amazon,Transportation and Material Moving,,
Biomedical Engineer,Architecture and Engineering,,
Administrative assistant,Office and Administrative Support,,
ejecutivo de titulacion ,Other,,
Air Traffic Controller,Transportation and Material Moving,,
Construction worker,Construction and Extraction,,
Researcher,Life Physical and Social Science,,
Teacher,Educational Instruction and Library,,
Junior Digital Marketer,Business and Financial Operations,,
Account manager ,Business and Financial Operations,,
Call Center Agent,Sales and Related,,
ADMINISTRATOR,Management,,
Account executive,Business and Financial Operations,,
Aircraft Mechanic,Installation Maintenance and Repair,,
Technical Lab assistant,Office and Administrative Support,,
Cashier Manager,Sales and Related,,
Quality engineer,Architecture and Engineering,,
Search Engine Evaluator,Business and Financial Operations,,
Administrative staff,Office and Administrative Support,,
Bank consultants (banker),Sales and Related,,
Maintenance team chief in the US Army,Military Specific,,
Account/credit analyst,Business and Financial Operations,,
Construction job,Construction and Extraction,,
Executive assistant,Office and Administrative Support,,
Supportive Scholar on a car agency,Other,,
Technical Analyst,Business and Financial Operations,,
Waitress,Food Preparation and Serving Related,,
Post person,Community and Social Service,,
CNC Machine Operator,Production,,
Sales assistant,Sales and Related,,
Health Inspector at a Hospital,Healthcare Support,,
Marine Engineer,Architecture and Engineering,,
Creative Director,Business and Financial Operations,,
Marketing Assistant,Business and Financial Operations,,
Service Manager,Management,,
Transcriptionist,Office and Administrative Support,,
Construction engineer,Architecture and Engineering,,
Mechanical Technician,Architecture and Engineering,,
Finance Supervisor,Business and Financial Operations,,
Investment Manager,Business and Financial Operations,,
retails customer service representative ,Sales and Related,,
Junior Civil Engineer,Architecture and Engineering,,
administrative,Office and Administrative Support,,
Medical scientists,Healthcare Practitioner and Technical,,
Senior Architect,Architecture and Engineering,,
developer (information and technology ),Computer and Mathematical,,
Staff,Other,,
Customer Support,Sales and Related,,
Paralegal ,Legal,,
Junior Manager,Management,,
Kitchen manager ,Food Preparation and Serving Related,,
NA,Other,,
"Client services specialist - responding to clients, partners and colleagues via phone, email and system that the work is on",Sales and Related,,
Search engine evaluator and social media labelling ,Business and Financial Operations,,
NA,Other,,
Linux Systems Adminstrator,Computer and Mathematical,,
"Web developer, IT",Computer and Mathematical,,
Telecommunications ,Other,,
CTO,Business and Financial Operations,,
Musical Missionary / Music Produer,Arts Design Entertainment Sports Media,,
QA Analyst,Business and Financial Operations,,
Trader,Sales and Related,,
Indirects Procurement Coordinator,Business and Financial Operations,,
Social worker,Community and Social Service,,
Anatomical preparation assistant,Healthcare Support,,
Security guard,Protective Service,,
Fleet manager,Management,,
Teacher,Educational Instruction and Library,,
615562efae9abcb208193103,Other,,
NA,Other,,
Finance internship,Business and Financial Operations,,
Personal Training,Life Physical and Social Science,,
Office administrator,Office and Administrative Support,,
Junior shopper in a supermarket,Food Preparation and Serving Related,,
