"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"hc48",48,345,0.11304347826087,0.317105845562948,0,0.0180505415162455,0,0,1,1,2.43347711202031,3.93323672131189,0.0170724048287943
"hc49",49,404,0.123762376237624,0.329718585129725,0,0.0308641975308642,0,0,1,1,2.27652525178573,3.19048282211171,0.0164041127253747
"hc50",50,434,0.124423963133641,0.330445517693117,0,0.0316091954022989,0,0,1,1,2.26791185977548,3.15069979571263,0.0158618924379492
"hc51",51,431,0.148491879350348,0.356000129741215,0,0.0608695652173913,0,0,1,1,1.97018218403204,1.88600986853738,0.017147922859998
"hc52",52,445,0.157303370786517,0.364496332872913,0,0.0728291316526611,0,0,1,1,1.87615892721725,1.52341085360795,0.0172787832929563
"hc53",53,508,0.135826771653543,0.342942231683418,0,0.0465686274509804,0,0,1,1,2.11963601058165,2.49778533501556,0.0152156010818985
"hc54",54,517,0.147001934235977,0.354450806216123,0,0.0602409638554217,0,0,1,1,1.98795024881769,1.95574027153872,0.0155887286332429
"hc55",55,454,0.127753303964758,0.334183160740984,0,0.0357142857142857,0,0,1,1,2.22289338917274,2.94776243264666,0.0156839928586002
"hc56",56,376,0.164893617021277,0.371578957942744,0,0.0827814569536424,0,0,1,1,1.7988916511788,1.23932846020813,0.0191627215942424
"hc57",57,305,0.140983606557377,0.34857654580164,0,0.0530612244897959,0,0,1,1,2.05314611567087,2.22272882192619,0.0199594349506901
"hc58",58,502,0.165338645418327,0.371856464781451,0,0.082089552238806,0,0,1,1,1.79636354416022,1.22938284927534,0.016596766257278
"hc59",59,162,0.0864197530864197,0.281854147745214,0,0,0,0,1,1,2.9165955918308,6.54705786032947,0.0221445532417995
"hc60",60,436,0.105504587155963,0.307555392602925,0,0.00857142857142857,0,0,1,1,2.55947784573185,4.56140454926629,0.0147292319598296
"hc61",61,242,0.144628099173554,0.352454443828979,0,0.0567010309278351,0,0,1,1,2.00822221477869,2.04144333564351,0.0226566297537095
"hc62",62,287,0.121951219512195,0.327801040400528,0,0.0303030303030303,0,0,1,1,2.29853777699975,3.29479240437004,0.0193494836102907
"hc63",63,469,0.127931769722815,0.334370482049935,0,0.0371352785145889,0,0,1,1,2.2207397348497,2.93796291227399,0.0154397942959928
"hc64",64,105,0.161904761904762,0.37013016223531,0,0.0823529411764706,0,0,1,1,1.80950010355446,1.28681727236349,0.0361210052325892
"hc65",65,229,0.100436681222707,0.301239808969923,0,0.00540540540540541,0,0,1,1,2.64120802726366,4.99786169069827,0.0199064868964863
"hc66",66,145,0.124137931034483,0.330881789496928,0,0.0341880341880342,0,0,1,1,2.25621311667392,3.11210276480006,0.0274782369836366
"hc67",67,117,0.162393162393162,0.370397385791423,0,0.0842105263157895,0,0,1,1,1.80736323700066,1.27770092084725,0.034243250429969
"hc68",68,295,0.155932203389831,0.363407525240729,0,0.0717299578059072,0,0,1,1,1.88714564933179,1.56666386064348,0.0211584041403908
"hc69",69,390,0.130769230769231,0.337580873794106,0,0.0384615384615385,0,0,1,1,2.18190100362889,2.76780864188024,0.0170940720232897
"hc70",70,425,0.141176470588235,0.348613871669692,0,0.0527859237536657,0,0,1,1,2.05372917055639,2.22305080975178,0.016910256652349
"hc71",71,531,0.12241054613936,0.328068430795765,0,0.0282352941176471,0,0,1,1,2.29755945548478,3.28497648096377,0.0142369572441628
"hc72",72,463,0.144708423326134,0.352187153971295,0,0.0566037735849057,0,0,1,1,2.01327166116127,2.05772108812514,0.0163675250970378
"hc73",73,490,0.13469387755102,0.34174520245063,0,0.0433673469387755,0,0,1,1,2.13352285349358,2.5571509280367,0.0154384745597049
"hc74",74,507,0.142011834319527,0.349407029962113,0,0.0540540540540541,0,0,1,1,2.04507662403155,2.18666300619905,0.0155177109850287
"hc75",75,371,0.1455525606469,0.35313331731441,0,0.0572390572390572,0,0,1,1,2.0020317431833,2.01358031716977,0.0183337683373804
"hc76",76,468,0.170940170940171,0.376859518992445,0,0.0904255319148936,0,0,1,1,1.74259475066384,1.03886996002133,0.0174203374278712
"hc77",77,261,0.176245210727969,0.381760699847599,0,0.0956937799043062,0,0,1,1,1.68961524638414,0.858131524098061,0.0236303940869693
"hc78",78,434,0.122119815668203,0.327802008095961,0,0.028735632183908,0,0,1,1,2.30022686470221,3.29866014356057,0.01573499991666
"hc79",79,321,0.168224299065421,0.374649368787284,0,0.0856031128404669,0,0,1,1,1.76560890970339,1.12089579362255,0.0209108886310883
"hc80",80,307,0.136807817589577,0.344205401424873,0,0.048582995951417,0,0,1,1,2.10344837406421,2.43245014875575,0.0196448398849271
"hc81",81,380,0.242105263157895,0.428922426545097,0,0.177631578947368,0,0,1,1,1.19935937392609,-0.562997908219251,0.0220032562179552
"hc82",82,210,0.142857142857143,0.350763253316201,0,0.0535714285714286,0,0,1,1,2.02667852752711,2.11757747543462,0.0242049640596388
"hc83",83,159,0.176100628930818,0.38210925594732,0,0.10077519379845,0,0,1,1,1.68466093452003,0.84350595058543,0.0303032351346602
"hc84",84,260,0.130769230769231,0.337798037453615,0,0.0384615384615385,0,0,1,1,2.17769560569504,2.75299089940213,0.0209493449601573
